ID_Pessoa,Idade,Renda,Tipo_de_Residência,Tempo_de_trabalho,ID_Emprestimo,Intenção_do_emprestimo,Grau_emprestimo,Quantidade_emprestimo,Taxa_juros,Estado_emprestimo,Renda_percentual,ID_historico,inadimplencia,tempo_historico_de_credito
xZjlTQmr-sX7I,22,50000,Hipotecada,0,0DEl6qTs-hfiQ,"Quitação de dividas",A,12800,5.79,0,0.26,PTHgNlLP-XvtB,N,2
J3jGNZeh-OzZE,26,84996,Aluguel,0,NaelpPC5-t2kz,Médico,B,9000,11.26,0,0.11,GvqL52S8-S8OH,N,2
HJ3m9vRs-v2ea,33,43000,Aluguel,2,mI7haz1C-28yO,Educação,A,7000,7.88,0,0.16,6T2jXh5j-CEQA,N,6
QCrl3MTd-8H85,24,55782,Aluguel,3,Dy72mlJI-6TUS,"Melhoramento do lar",A,17000,7.51,0,0.3,u0KE1FJ7-gAEQ,N,2
01nbSq5W-xWRq,25,125000,Própria,9,NFSGLMcu-Thyb,Pessoal,B,25000,10.59,0,0.2,lswq23Ne-M6Wg,N,2
M7v6eyLG-26D0,23,44340,Própria,0,IOMkIRcN-wXBu,Investimento,C,3000,12.98,0,0.07,JBSnaQ5c-FyTs,Y,3
u6uTcHQC-Esk5,23,48000,Hipotecada,5,76Z3TmEm-4lZW,Educação,C,5000,13.99,0,0.1,D9wblpCD-LFdK,Y,2
zw1G3FLG-tku4,29,50000,Hipotecada,4,ZhWghdc1-PsrE,Médico,B,21850,12.42,0,0.44,v4ssLH7I-Gs7Y,N,10
pbrxxYCT-azkQ,27,35000,Aluguel,8,Ocg8CEfd-dYA4,Pessoal,B,12000,9.91,1,0.34,OWpqlTfj-B7BP,N,8
rz6KYxBX-SCcJ,32,19200,Aluguel,0,rexKO1Fs-lZn3,Investimento,B,5000,9.99,1,0.26,gngDxDmO-YH6A,N,6
DYMCwJ0x-NvuU,30,36000,Aluguel,3,ldaWvgbI-4GX1,Pessoal,B,8000,11.36,0,0.22,vbDpZoUy-vNKv,N,8
cqGpJcpX-d7lK,22,70800,Aluguel,6,K1vWZGQ2-T6Jp,Educação,C,10000,12.61,0,0.14,mxGPSJ9d-ra71,Y,2
Zx2PDoqF-vBJi,24,82000,Hipotecada,8,8AK6FttX-HrNB,Pessoal,A,6000,6.76,0,0.07,QCIoQ2Z0-aFDN,N,3
iWzdnAgb-suBH,36,39520,Própria,14,pn98XcB0-DUtg,Investimento,A,5000,5.79,0,0.13,Uzelr67n-v7SG,N,16
K58ydOiW-a2I3,30,36000,Aluguel,6,sxSX7s1R-Wo1r,"Quitação de dividas",C,4500,13.49,0,0.13,o65QapOc-tR0Z,Y,6
bJNvNByL-bulA,25,155000,Hipotecada,9,8hWEWTjS-RzO6,Médico,A,18000,7.51,0,0.12,TZnTXZ7C-qADZ,N,2
tHhovZu7-yAyc,29,220000,Hipotecada,13,0eLybnh2-aE9r,"Quitação de dividas",B,8500,10.37,0,0.04,I4PWxFFm-Dx3k,N,5
QxguCoOz-A8TQ,28,215662,Hipotecada,12,YMTqlcva-hOXa,Investimento,B,21000,11.99,0,0.1,5N6Comwu-QDQT,N,7
pPqmmTfY-KReJ,23,36000,Hipotecada,6,IDga24hC-A4um,Pessoal,C,14000,12.99,0,0.39,I7v0qyAN-YZjh,Y,3
5deB5DeT-OKAp,33,54000,Aluguel,15,vwZi6gb8-h0ve,"Quitação de dividas",B,10000,10.99,0,0.19,s2fQ68Mw-HuT3,N,8
buTRyu8E-3IRL,21,45000,Aluguel,3,dWAbSFLp-YN78,Pessoal,A,3200,6.54,0,0.07,mY9Zm8i5-0Alw,N,4
U5ZGAnOO-7X0A,24,44000,Aluguel,2,GpPfyAEQ-xf4Q,Pessoal,A,10000,7.49,0,0.23,YMii0Ay8-3XdD,N,2
CSdxstlx-8mIo,26,103000,Hipotecada,0,7NsYjoqW-9Qss,Pessoal,C,14000,13.57,1,0.14,pSCbch2x-rw1l,N,4
1cOPf1qD-wFaf,36,45344,Hipotecada,11,Q9gpRLzs-elg5,Educação,A,16750,7.88,0,0.37,w3Wj01jg-smjd,N,13
H4gHoJtN-N10c,31,50402,Hipotecada,4,zhFY8hpf-ZSPD,Investimento,C,3000,13.22,0,0.06,kH3LU1Tq-Jgjt,Y,10
u03tbyFD-kivI,21,53000,Hipotecada,5,6SlddJLo-ZorK,Investimento,C,18000,13.8,0,0.34,tZHUg48k-WmbY,Y,3
o6mELtk2-D6w8,36,24000,Hipotecada,2,o4P4s9g8-zrLp,"Quitação de dividas",A,1500,9.63,0,0.06,a2Yd1SZQ-zF8G,N,16
1sPDO4Wp-iuA5,33,42996,Aluguel,2,Dogopik6-npOn,Investimento,A,8200,7.88,0,0.19,aCnMasQy-jt4S,N,9
Z7IrcAuM-hQ4e,30,62000,Aluguel,14,QJKW0pkS-BYQN,Médico,B,12000,11.71,0,0.19,0vkNdjj2-gHxl,N,9
CblggIQq-7Fp8,23,80000,Própria,7,5O0Qypun-XtT4,Investimento,B,25000,9.99,0,0.31,De4YYLZ1-FY1g,N,3
kldtM1j3-f9BS,35,39000,Aluguel,8,caP8lI9I-mlTd,Médico,B,5000,9.99,1,0.13,tDwgymBR-UP8q,N,6
bsjYmP00-XXsO,23,65000,Hipotecada,7,EXQXXO9g-llgX,Educação,A,10500,6.03,0,0.16,Yj0s3Sns-mdCe,N,4
HyQps3sR-bRxO,22,50000,Hipotecada,6,qxDsU9Gv-RruM,Pessoal,A,15000,7.9,0,0.3,y84fsHF6-8UmN,N,3
IBn1Z7wt-cq4d,27,61000,Hipotecada,11,j7AjFW1k-pN9o,Médico,B,1200,10.37,0,0.02,zY295teH-bgKn,N,5
JlUHLUZA-rfPy,24,64000,Hipotecada,8,woPqremP-ROOh,Educação,A,5000,7.88,1,0.08,kXb3MoC4-CC80,N,4
r2zRTMkC-8Tq7,30,50000,Hipotecada,14,72fr2wCD-HUEr,"Quitação de dividas",A,1875,8,0,0.04,oEbc4JGm-aElH,N,9
81S7xySz-HsQY,47,168000,Hipotecada,13,uYot9IpR-k8t8,Educação,A,8775,8.49,0,0.05,v7sD14be-H2xC,N,12
zoN4iJtm-hXPm,27,146000,Hipotecada,5,agOFgpmv-wzM3,Médico,A,2500,8.49,0,0.02,lK21aS2J-YoaY,N,5
JErNX8Ig-DWQK,22,90000,Aluguel,7,EBC4fYHR-YYYt,Investimento,A,12000,5.79,0,0.13,EYIbBkQM-3iOn,N,2
wXiUBziv-iEnX,23,90096,Hipotecada,0,3LQRKPrY-enlh,Educação,C,10150,11.97,0,0.11,Q89FNQId-Bzsg,N,3
pyy8Hy9A-sS1b,35,70360,Aluguel,8,glumkzb4-tFxg,Educação,A,10000,6.62,0,0.14,QCbJrQam-owI2,N,5
uEOsSZH4-CIm7,24,40000,Aluguel,8,LnxfHwJd-tdvi,Médico,C,4500,12.84,0,0.11,fgZCqYMu-fw6D,N,3
vyUYLMeB-StRn,35,21340,Aluguel,0,UxMW3iSC-5jBS,"Quitação de dividas",B,8000,11.14,1,0.37,IfP2owa4-9wi0,N,7
TJvond5k-OZsJ,22,96000,Hipotecada,3,Sq9jFOjZ-nd4A,Educação,C,11400,13.04,0,0.12,LOrdD3hM-coOU,Y,2
EAm47Dz3-o1ya,24,45000,Aluguel,5,15sq0ll3-YUtC,Médico,C,1300,13.61,0,0.03,FN5sFb0K-RqMn,Y,4
